Repeat,PopSize,Avg Size,Uniform Seed,Beta Seed,WRACC,Support
0,3,877.3333333333334,3394053878439304766,,NaN,0.0
1,3,909.6666666666666,8031753614496833124,,NaN,0.0
2,3,862.3333333333334,5749707386842579805,,NaN,0.0
3,3,834.6666666666666,-7108450670121493499,,NaN,0.0
4,3,836.3333333333334,4226493937843085135,,NaN,0.0
5,3,854.0,-8718212088944526529,,NaN,0.0
6,3,891.0,8613096305672968387,,NaN,0.0
7,3,899.3333333333334,-1991451534383343133,,NaN,0.0
8,3,876.3333333333334,2798483654236051920,,NaN,0.0
9,3,878.0,8909983974411608792,,NaN,0.0
10,3,896.0,4286777641714463834,,NaN,0.0
11,3,886.6666666666666,-7431114949873425636,,NaN,0.0
12,3,888.6666666666666,5999427699553298618,,NaN,0.0
13,3,889.3333333333334,-3803985480541803767,,NaN,0.0
14,3,899.6666666666666,3151921647258940062,,NaN,0.0
15,3,890.3333333333334,1223193723853012953,,NaN,0.0
16,3,895.3333333333334,2637859300016226348,,NaN,0.0
17,3,885.0,1336982290880962924,,NaN,0.0
18,3,934.0,-5442790682629687443,,NaN,0.0
19,3,869.3333333333334,1028980390827288648,,NaN,0.0
20,3,914.3333333333334,6939512748233928168,,NaN,0.0
21,3,923.3333333333334,2850581160160542688,,NaN,0.0
22,3,850.6666666666666,-3684115661748767091,,NaN,0.0
23,3,877.3333333333334,-8938752901239521000,,NaN,0.0
24,3,933.6666666666666,4687652294793308629,,NaN,0.0
25,3,885.6666666666666,-1251935215777009400,,NaN,0.0
26,3,838.3333333333334,3993438426385288230,,NaN,0.0
27,3,885.3333333333334,2234823566502373376,,NaN,0.0
28,3,856.6666666666666,-1229260075000547717,,NaN,0.0
29,3,845.0,-8106860695108836149,,NaN,0.0
